10-2_s10_iso8000_exp0.03_1.raw 10-3_s10_iso160000_exp0.04_4.raw
10-2_s10_iso8000_exp0.04_2.raw 10-3_s10_iso8000_exp0.01_5.raw
10-2_s10_iso8000_exp0.04_1.raw 10-1_s10_iso8000_exp0.04_5.raw
10-2_s10_iso1000_exp0.03_3.raw 10-2_s10_iso8000_exp0.03_5.raw
10-3_s10_iso16000_exp0.05_2.raw 10-3_s10_iso1000_exp0.01_5.raw
10-3_s10_iso2000_exp0.01_2.raw 10-2_s10_iso160000_exp0.03_2.raw
10-2_s10_iso160000_exp0.04_5.raw 10-3_s10_iso1000_exp0.02_5.raw
10-2_s10_iso1000_exp0.02_3.raw 10-1_s10_iso1000_exp0.01_1.raw
10-1_s10_iso16000_exp0.02_4.raw 10-1_s10_iso4000_exp0.03_1.raw
10-2_s10_iso4000_exp0.04_3.raw 10-2_s10_iso16000_exp0.04_1.raw
10-2_s10_iso4000_exp0.01_5.raw 10-1_s10_iso1000_exp0.02_1.raw
10-2_s10_iso16000_exp0.03_4.raw 10-1_s10_iso8000_exp0.03_5.raw
10-3_s10_iso4000_exp0.03_4.raw 10-3_s10_iso8000_exp0.02_5.raw
10-2_s10_iso8000_exp0.01_5.raw 10-2_s10_iso16000_exp0.03_3.raw
10-1_s10_iso2000_exp0.02_5.raw 10-3_s10_iso4000_exp0.01_4.raw
10-3_s10_iso8000_exp0.01_2.raw 10-2_s10_iso1000_exp0.01_5.raw
10-3_s10_iso16000_exp0.01_1.raw 10-2_s10_iso16000_exp0.05_6.raw
10-1_s10_iso16000_exp0.01_2.raw 10-1_s10_iso8000_exp0.05_3.raw
10-1_s10_iso16000_exp0.02_2.raw 10-1_s10_iso16000_exp0.04_2.raw
10-3_s10_iso4000_exp0.02_1.raw 10-2_s10_iso160000_exp0.01_3.raw
10-1_s10_iso8000_exp0.02_3.raw 10-3_s10_iso1000_exp0.02_4.raw
10-2_s10_iso1000_exp0.01_3.raw 10-2_s10_iso160000_exp0.05_5.raw
10-3_s10_iso2000_exp0.02_5.raw 10-3_s10_iso160000_exp0.03_2.raw
10-2_s10_iso16000_exp0.05_2.raw 10-3_s10_iso4000_exp0.05_3.raw
10-2_s10_iso160000_exp0.02_1.raw 10-2_s10_iso8000_exp0.02_3.raw
10-2_s10_iso4000_exp0.03_5.raw 10-1_s10_iso4000_exp0.02_2.raw
10-1_s10_iso4000_exp0.05_3.raw 10-3_s10_iso4000_exp0.04_4.raw
10-3_s10_iso2000_exp0.02_1.raw 10-2_s10_iso2000_exp0.03_5.raw
10-2_s10_iso2000_exp0.03_4.raw 10-2_s10_iso4000_exp0.04_2.raw
10-3_s10_iso4000_exp0.02_4.raw 10-1_s10_iso16000_exp0.05_4.raw
10-3_s10_iso4000_exp0.05_2.raw 10-1_s10_iso1000_exp0.01_4.raw
10-1_s10_iso4000_exp0.04_2.raw 10-3_s10_iso4000_exp0.01_2.raw
10-2_s10_iso16000_exp0.04_2.raw 10-1_s10_iso1000_exp0.03_5.raw
10-1_s10_iso8000_exp0.03_1.raw 10-2_s10_iso1000_exp0.01_4.raw
10-3_s10_iso160000_exp0.01_5.raw 10-3_s10_iso4000_exp0.01_1.raw
10-2_s10_iso160000_exp0.04_3.raw 10-1_s10_iso2000_exp0.03_4.raw
10-2_s10_iso1000_exp0.01_2.raw 10-3_s10_iso160000_exp0.04_2.raw
10-3_s10_iso4000_exp0.04_5.raw 10-2_s10_iso8000_exp0.02_4.raw
10-1_s10_iso8000_exp0.01_5.raw 10-3_s10_iso16000_exp0.05_3.raw
10-2_s10_iso2000_exp0.02_4.raw 10-2_s10_iso1000_exp0.03_5.raw
10-2_s10_iso4000_exp0.01_4.raw 10-2_s10_iso8000_exp0.05_4.raw
10-2_s10_iso16000_exp0.02_5.raw 10-3_s10_iso4000_exp0.05_4.raw
10-2_s10_iso4000_exp0.03_4.raw 10-1_s10_iso8000_exp0.04_2.raw
10-1_s10_iso16000_exp0.03_5.raw 10-3_s10_iso2000_exp0.01_3.raw
10-2_s10_iso4000_exp0.05_1.raw 10-3_s10_iso16000_exp0.02_1.raw
10-3_s10_iso160000_exp0.01_3.raw 10-1_s10_iso8000_exp0.05_1.raw
10-3_s10_iso16000_exp0.05_5.raw 10-2_s10_iso16000_exp0.04_5.raw
10-3_s10_iso8000_exp0.03_1.raw 10-3_s10_iso4000_exp0.04_2.raw
10-2_s10_iso160000_exp0.05_4.raw 10-1_s10_iso2000_exp0.01_4.raw
10-2_s10_iso1000_exp0.02_1.raw 10-3_s10_iso16000_exp0.03_5.raw
10-1_s10_iso16000_exp0.05_3.raw 10-1_s10_iso4000_exp0.03_2.raw
10-2_s10_iso16000_exp0.05_4.raw 10-3_s10_iso4000_exp0.04_3.raw
10-3_s10_iso160000_exp0.02_1.raw 10-3_s10_iso16000_exp0.04_1.raw
10-3_s10_iso16000_exp0.05_6.raw 10-3_s10_iso8000_exp0.05_5.raw
10-1_s10_iso16000_exp0.01_4.raw 10-2_s10_iso16000_exp0.02_3.raw
10-1_s10_iso8000_exp0.01_3.raw 10-2_s10_iso2000_exp0.01_4.raw
10-1_s10_iso1000_exp0.03_1.raw 10-1_s10_iso8000_exp0.03_2.raw
10-3_s10_iso8000_exp0.04_1.raw 10-2_s10_iso8000_exp0.01_4.raw
10-3_s10_iso4000_exp0.02_3.raw 10-3_s10_iso8000_exp0.01_4.raw
10-2_s10_iso4000_exp0.03_3.raw 10-2_s10_iso160000_exp0.04_4.raw
10-1_s10_iso16000_exp0.03_3.raw 10-3_s10_iso1000_exp0.03_2.raw
10-2_s10_iso4000_exp0.01_1.raw 10-3_s10_iso16000_exp0.04_3.raw
10-2_s10_iso4000_exp0.03_2.raw 10-2_s10_iso4000_exp0.03_1.raw
10-2_s10_iso16000_exp0.05_3.raw 10-3_s10_iso160000_exp0.03_5.raw
10-2_s10_iso16000_exp0.02_2.raw 10-3_s10_iso160000_exp0.05_3.raw
10-1_s10_iso4000_exp0.02_5.raw 10-1_s10_iso16000_exp0.05_1.raw
10-2_s10_iso16000_exp0.03_5.raw 10-3_s10_iso1000_exp0.03_3.raw
10-3_s10_iso8000_exp0.03_4.raw 10-3_s10_iso1000_exp0.03_4.raw
10-2_s10_iso2000_exp0.01_1.raw 10-3_s10_iso16000_exp0.02_6.raw
10-3_s10_iso4000_exp0.03_3.raw 10-1_s10_iso4000_exp0.01_5.raw
10-3_s10_iso4000_exp0.02_5.raw 10-1_s10_iso16000_exp0.03_1.raw
10-3_s10_iso1000_exp0.01_2.raw 10-1_s10_iso4000_exp0.05_1.raw
10-3_s10_iso16000_exp0.03_4.raw 10-3_s10_iso1000_exp0.03_1.raw
10-3_s10_iso2000_exp0.03_4.raw 10-3_s10_iso160000_exp0.05_4.raw
10-3_s10_iso160000_exp0.02_3.raw 10-3_s10_iso4000_exp0.03_1.raw
10-1_s10_iso4000_exp0.05_4.raw 10-3_s10_iso160000_exp0.03_3.raw
10-2_s10_iso8000_exp0.04_5.raw 10-1_s10_iso1000_exp0.01_5.raw
10-2_s10_iso4000_exp0.04_4.raw 10-2_s10_iso2000_exp0.01_5.raw
10-1_s10_iso8000_exp0.02_2.raw 10-3_s10_iso4000_exp0.03_2.raw
10-3_s10_iso160000_exp0.05_2.raw 10-1_s10_iso4000_exp0.02_3.raw
10-1_s10_iso16000_exp0.01_1.raw 10-2_s10_iso8000_exp0.02_5.raw
10-1_s10_iso8000_exp0.01_1.raw 10-3_s10_iso2000_exp0.01_4.raw
10-2_s10_iso160000_exp0.02_3.raw 10-3_s10_iso16000_exp0.02_4.raw
10-3_s10_iso8000_exp0.05_4.raw 10-3_s10_iso8000_exp0.05_3.raw
10-3_s10_iso160000_exp0.04_1.raw 10-1_s10_iso16000_exp0.05_6.raw
10-2_s10_iso4000_exp0.05_3.raw 10-3_s10_iso2000_exp0.01_5.raw
10-3_s10_iso4000_exp0.02_2.raw 10-1_s10_iso16000_exp0.05_2.raw
10-1_s10_iso4000_exp0.04_3.raw 10-2_s10_iso160000_exp0.03_3.raw
10-1_s10_iso16000_exp0.04_4.raw 10-2_s10_iso16000_exp0.03_2.raw
10-2_s10_iso8000_exp0.05_5.raw 10-3_s10_iso2000_exp0.03_3.raw
10-2_s10_iso8000_exp0.04_4.raw 10-2_s10_iso160000_exp0.03_5.raw
10-1_s10_iso1000_exp0.03_3.raw 10-1_s10_iso4000_exp0.05_2.raw
10-2_s10_iso8000_exp0.05_2.raw 10-2_s10_iso8000_exp0.04_3.raw
10-3_s10_iso8000_exp0.04_3.raw 10-3_s10_iso160000_exp0.04_5.raw
10-2_s10_iso8000_exp0.05_3.raw 10-2_s10_iso1000_exp0.03_4.raw
10-3_s10_iso16000_exp0.04_2.raw 10-1_s10_iso8000_exp0.03_4.raw
10-1_s10_iso1000_exp0.02_2.raw 10-1_s10_iso16000_exp0.03_2.raw
10-2_s10_iso8000_exp0.02_2.raw 10-2_s10_iso1000_exp0.01_1.raw
10-2_s10_iso4000_exp0.01_3.raw 10-3_s10_iso2000_exp0.03_2.raw
10-2_s10_iso4000_exp0.02_5.raw 10-1_s10_iso16000_exp0.04_3.raw
10-1_s10_iso2000_exp0.03_3.raw 10-1_s10_iso4000_exp0.01_1.raw
10-1_s10_iso8000_exp0.05_4.raw 10-2_s10_iso4000_exp0.04_5.raw
10-3_s10_iso16000_exp0.01_5.raw 10-2_s10_iso16000_exp0.05_5.raw
10-1_s10_iso4000_exp0.01_2.raw 10-2_s10_iso2000_exp0.03_2.raw
10-3_s10_iso4000_exp0.05_1.raw 10-2_s10_iso4000_exp0.05_5.raw
10-3_s10_iso8000_exp0.04_5.raw 10-3_s10_iso8000_exp0.02_1.raw
10-1_s10_iso2000_exp0.02_3.raw 10-1_s10_iso2000_exp0.01_1.raw
10-2_s10_iso1000_exp0.02_4.raw 10-2_s10_iso16000_exp0.01_3.raw
10-1_s10_iso4000_exp0.01_3.raw 10-3_s10_iso1000_exp0.01_3.raw
10-1_s10_iso1000_exp0.01_3.raw 10-1_s10_iso2000_exp0.01_2.raw
10-2_s10_iso8000_exp0.03_2.raw 10-1_s10_iso4000_exp0.02_1.raw
10-3_s10_iso4000_exp0.01_5.raw 10-1_s10_iso8000_exp0.03_3.raw
10-3_s10_iso4000_exp0.01_3.raw 10-3_s10_iso1000_exp0.01_1.raw
10-1_s10_iso16000_exp0.01_3.raw 10-1_s10_iso8000_exp0.01_4.raw
10-1_s10_iso1000_exp0.02_3.raw 10-3_s10_iso16000_exp0.03_3.raw
10-2_s10_iso4000_exp0.02_4.raw 10-2_s10_iso16000_exp0.03_1.raw
10-1_s10_iso16000_exp0.02_3.raw 10-2_s10_iso16000_exp0.04_3.raw
10-3_s10_iso160000_exp0.02_4.raw 10-1_s10_iso8000_exp0.04_4.raw
10-1_s10_iso8000_exp0.01_2.raw 10-2_s10_iso2000_exp0.02_2.raw
10-3_s10_iso16000_exp0.04_4.raw 10-1_s10_iso4000_exp0.01_4.raw
10-3_s10_iso8000_exp0.02_3.raw 10-3_s10_iso1000_exp0.03_5.raw
10-3_s10_iso160000_exp0.05_5.raw 10-3_s10_iso160000_exp0.01_1.raw
10-1_s11_iso16000_exp0.04_3.raw 10-2_s11_iso16000_exp0.01_3.raw
10-3_s11_iso2000_exp0.03_2.raw 10-1_s11_iso8000_exp0.01_5.raw
10-1_s11_iso1000_exp0.02_3.raw 10-3_s11_iso16000_exp0.03_2.raw
10-1_s11_iso8000_exp0.05_2.raw 10-2_s11_iso4000_exp0.01_1.raw
10-3_s11_iso8000_exp0.01_3.raw 10-1_s11_iso8000_exp0.02_3.raw
10-3_s11_iso160000_exp0.01_1.raw 10-1_s11_iso1000_exp0.02_2.raw
10-1_s11_iso8000_exp0.01_4.raw 10-3_s11_iso16000_exp0.04_4.raw
10-1_s11_iso16000_exp0.02_2.raw 10-3_s11_iso2000_exp0.01_1.raw
10-3_s11_iso1000_exp0.01_5.raw 10-1_s11_iso4000_exp0.01_1.raw
10-1_s11_iso16000_exp0.01_4.raw 10-2_s11_iso4000_exp0.04_6.raw
10-2_s11_iso160000_exp0.05_5.raw 10-2_s11_iso2000_exp0.02_1.raw
10-1_s11_iso8000_exp0.02_2.raw 10-1_s11_iso4000_exp0.04_1.raw
10-2_s11_iso1000_exp0.03_5.raw 10-2_s11_iso160000_exp0.04_1.raw
10-2_s11_iso16000_exp0.02_2.raw 10-3_s11_iso4000_exp0.01_2.raw
10-2_s11_iso16000_exp0.01_4.raw 10-2_s11_iso160000_exp0.02_1.raw
10-2_s11_iso1000_exp0.01_1.raw 10-1_s11_iso1000_exp0.01_3.raw
10-2_s11_iso160000_exp0.01_1.raw 10-1_s11_iso8000_exp0.04_5.raw
10-1_s11_iso16000_exp0.01_2.raw 10-1_s11_iso16000_exp0.03_3.raw
10-3_s11_iso8000_exp0.05_5.raw 10-2_s11_iso8000_exp0.01_1.raw
10-1_s11_iso4000_exp0.03_3.raw 10-1_s11_iso8000_exp0.02_4.raw
10-3_s11_iso160000_exp0.03_5.raw 10-3_s11_iso8000_exp0.03_2.raw
10-2_s11_iso2000_exp0.03_3.raw 10-3_s11_iso4000_exp0.02_2.raw
10-2_s11_iso160000_exp0.05_4.raw 10-2_s11_iso8000_exp0.02_3.raw
10-3_s11_iso16000_exp0.05_2.raw 10-1_s11_iso4000_exp0.04_5.raw
10-2_s11_iso16000_exp0.03_2.raw 10-3_s11_iso1000_exp0.01_2.raw
10-1_s11_iso16000_exp0.02_5.raw 10-3_s11_iso8000_exp0.02_2.raw
10-1_s11_iso16000_exp0.01_5.raw 10-2_s11_iso8000_exp0.02_2.raw
10-3_s11_iso8000_exp0.05_4.raw 10-1_s11_iso8000_exp0.05_3.raw
10-3_s11_iso160000_exp0.05_6.raw 10-1_s11_iso4000_exp0.02_4.raw
10-2_s11_iso4000_exp0.02_2.raw 10-2_s11_iso160000_exp0.03_5.raw
10-3_s11_iso4000_exp0.03_1.raw 10-3_s11_iso8000_exp0.04_3.raw
10-1_s11_iso8000_exp0.01_1.raw 10-3_s11_iso8000_exp0.01_1.raw
10-1_s11_iso2000_exp0.01_3.raw 10-2_s11_iso2000_exp0.02_2.raw
10-1_s11_iso16000_exp0.04_1.raw 10-1_s11_iso2000_exp0.01_2.raw
10-2_s11_iso160000_exp0.05_3.raw 10-1_s11_iso2000_exp0.02_1.raw
10-2_s11_iso1000_exp0.01_4.raw 10-2_s11_iso160000_exp0.03_4.raw
10-1_s11_iso4000_exp0.04_4.raw 10-3_s11_iso16000_exp0.02_5.raw
10-1_s11_iso16000_exp0.01_1.raw 10-1_s11_iso1000_exp0.02_1.raw
10-3_s11_iso16000_exp0.01_5.raw 10-2_s11_iso8000_exp0.05_3.raw
10-2_s11_iso160000_exp0.02_2.raw 10-2_s11_iso2000_exp0.03_4.raw
10-1_s11_iso2000_exp0.02_4.raw 10-3_s11_iso4000_exp0.03_5.raw
10-1_s11_iso4000_exp0.03_2.raw 10-2_s11_iso160000_exp0.02_5.raw
10-3_s11_iso1000_exp0.02_1.raw 10-1_s11_iso16000_exp0.05_1.raw
10-3_s11_iso4000_exp0.05_2.raw 10-2_s11_iso8000_exp0.04_2.raw
10-3_s11_iso2000_exp0.02_3.raw 10-3_s11_iso4000_exp0.05_5.raw
10-3_s11_iso1000_exp0.03_1.raw 10-3_s11_iso160000_exp0.03_1.raw
10-2_s11_iso1000_exp0.01_5.raw 10-1_s11_iso1000_exp0.03_4.raw
10-1_s11_iso16000_exp0.05_4.raw 10-1_s11_iso4000_exp0.04_2.raw
10-3_s11_iso16000_exp0.01_2.raw 10-2_s11_iso1000_exp0.03_3.raw
10-3_s11_iso4000_exp0.04_6.raw 10-2_s11_iso2000_exp0.02_3.raw
10-2_s11_iso2000_exp0.02_5.raw 10-2_s11_iso1000_exp0.02_2.raw
10-3_s11_iso8000_exp0.03_5.raw 10-3_s11_iso2000_exp0.03_3.raw
10-2_s11_iso8000_exp0.02_5.raw 10-2_s11_iso16000_exp0.01_5.raw
10-1_s11_iso2000_exp0.03_4.raw 10-2_s11_iso1000_exp0.01_3.raw
10-1_s11_iso1000_exp0.02_5.raw 10-2_s11_iso16000_exp0.04_3.raw
10-3_s11_iso16000_exp0.05_4.raw 10-1_s11_iso4000_exp0.05_3.raw
10-3_s11_iso1000_exp0.01_1.raw 10-2_s11_iso1000_exp0.02_3.raw
10-3_s11_iso160000_exp0.05_3.raw 10-1_s11_iso8000_exp0.04_1.raw
10-2_s11_iso8000_exp0.05_2.raw 10-1_s11_iso4000_exp0.01_2.raw
10-2_s11_iso16000_exp0.02_3.raw 10-3_s11_iso4000_exp0.04_3.raw
10-3_s11_iso8000_exp0.05_3.raw 10-2_s11_iso4000_exp0.05_2.raw
10-2_s11_iso4000_exp0.03_1.raw 10-2_s11_iso8000_exp0.05_4.raw
10-2_s11_iso160000_exp0.04_2.raw 10-3_s11_iso8000_exp0.01_2.raw
10-2_s11_iso4000_exp0.04_4.raw 10-1_s11_iso8000_exp0.03_2.raw
10-2_s11_iso8000_exp0.01_3.raw 10-2_s11_iso1000_exp0.03_2.raw
10-2_s11_iso4000_exp0.05_3.raw 10-3_s11_iso8000_exp0.01_5.raw
10-3_s11_iso4000_exp0.02_4.raw 10-3_s11_iso16000_exp0.01_1.raw
10-1_s11_iso2000_exp0.02_2.raw 10-1_s11_iso16000_exp0.03_4.raw
10-2_s11_iso16000_exp0.02_4.raw 10-3_s11_iso8000_exp0.03_3.raw
10-2_s11_iso8000_exp0.02_1.raw 10-1_s11_iso16000_exp0.04_2.raw
10-1_s11_iso2000_exp0.03_1.raw 10-2_s11_iso8000_exp0.04_1.raw
10-1_s11_iso4000_exp0.03_4.raw 10-1_s11_iso16000_exp0.02_3.raw
10-3_s11_iso16000_exp0.03_5.raw 10-2_s11_iso8000_exp0.01_2.raw
10-3_s11_iso1000_exp0.02_4.raw 10-3_s11_iso1000_exp0.02_2.raw
10-2_s11_iso4000_exp0.04_5.raw 10-3_s11_iso16000_exp0.04_3.raw
10-2_s11_iso4000_exp0.03_2.raw 10-1_s11_iso8000_exp0.03_4.raw
10-2_s11_iso4000_exp0.01_4.raw 10-3_s11_iso160000_exp0.01_2.raw
10-1_s11_iso2000_exp0.01_4.raw 10-2_s11_iso4000_exp0.01_5.raw
10-1_s11_iso8000_exp0.03_5.raw 10-1_s11_iso16000_exp0.03_1.raw
10-3_s11_iso160000_exp0.01_5.raw 10-1_s11_iso1000_exp0.01_5.raw
10-3_s11_iso8000_exp0.02_5.raw 10-1_s11_iso4000_exp0.02_3.raw
10-2_s11_iso8000_exp0.04_5.raw 10-1_s11_iso8000_exp0.04_4.raw
10-3_s11_iso4000_exp0.02_1.raw 10-3_s11_iso4000_exp0.04_2.raw
10-2_s11_iso2000_exp0.01_5.raw 10-3_s11_iso1000_exp0.03_5.raw
10-1_s11_iso16000_exp0.05_2.raw 10-3_s11_iso4000_exp0.01_1.raw
10-2_s11_iso8000_exp0.04_3.raw 10-2_s11_iso8000_exp0.05_1.raw
10-1_s11_iso1000_exp0.01_1.raw 10-2_s11_iso8000_exp0.01_5.raw
10-2_s11_iso1000_exp0.02_1.raw 10-1_s11_iso1000_exp0.03_5.raw
10-3_s11_iso160000_exp0.05_4.raw 10-3_s11_iso8000_exp0.05_2.raw
10-1_s11_iso2000_exp0.02_5.raw 10-2_s11_iso1000_exp0.03_1.raw
10-3_s11_iso1000_exp0.03_3.raw 10-1_s11_iso8000_exp0.04_2.raw
10-3_s11_iso160000_exp0.04_1.raw 10-1_s11_iso2000_exp0.01_5.raw
10-2_s11_iso2000_exp0.03_2.raw 10-2_s11_iso160000_exp0.01_3.raw
10-3_s11_iso2000_exp0.02_4.raw 10-3_s11_iso160000_exp0.02_3.raw
10-2_s11_iso160000_exp0.05_1.raw 10-3_s11_iso2000_exp0.01_2.raw
10-3_s11_iso1000_exp0.02_5.raw 10-1_s11_iso2000_exp0.02_3.raw
10-2_s11_iso4000_exp0.05_1.raw 10-2_s11_iso2000_exp0.01_2.raw
10-3_s11_iso16000_exp0.02_2.raw 10-1_s11_iso4000_exp0.01_4.raw
10-2_s11_iso16000_exp0.03_3.raw 10-2_s11_iso2000_exp0.02_4.raw
10-3_s11_iso8000_exp0.01_4.raw 10-3_s11_iso8000_exp0.04_2.raw
10-3_s11_iso1000_exp0.03_2.raw 10-3_s11_iso4000_exp0.04_4.raw
10-1_s11_iso2000_exp0.03_2.raw 10-3_s11_iso160000_exp0.02_5.raw
10-3_s11_iso16000_exp0.04_5.raw 10-3_s11_iso4000_exp0.04_1.raw
10-2_s11_iso8000_exp0.01_4.raw 10-3_s11_iso4000_exp0.01_3.raw
10-3_s11_iso160000_exp0.05_2.raw 10-3_s11_iso160000_exp0.04_5.raw
10-3_s11_iso4000_exp0.01_4.raw 10-3_s11_iso16000_exp0.02_3.raw
10-2_s11_iso16000_exp0.05_4.raw 10-2_s11_iso8000_exp0.03_3.raw
10-1_s11_iso16000_exp0.02_1.raw 10-1_s11_iso8000_exp0.04_3.raw
10-3_s11_iso1000_exp0.01_3.raw 10-3_s11_iso16000_exp0.05_3.raw
10-2_s11_iso160000_exp0.02_3.raw 10-1_s11_iso2000_exp0.03_5.raw
10-2_s11_iso2000_exp0.03_1.raw 10-3_s11_iso8000_exp0.02_3.raw
10-1_s11_iso1000_exp0.03_1.raw 10-3_s11_iso4000_exp0.03_3.raw
10-2_s11_iso1000_exp0.02_5.raw 10-3_s11_iso160000_exp0.03_3.raw
10-2_s11_iso4000_exp0.04_2.raw 10-3_s11_iso8000_exp0.02_1.raw
10-2_s11_iso8000_exp0.03_1.raw 10-2_s11_iso2000_exp0.01_4.raw
10-2_s11_iso2000_exp0.01_3.raw 10-3_s11_iso2000_exp0.02_1.raw
10-1_s11_iso8000_exp0.03_1.raw 10-3_s11_iso160000_exp0.02_4.raw
10-1_s11_iso4000_exp0.04_3.raw 10-1_s11_iso16000_exp0.04_5.raw
10-3_s11_iso2000_exp0.01_5.raw 10-2_s11_iso16000_exp0.05_5.raw
10-1_s11_iso16000_exp0.03_5.raw 10-1_s11_iso8000_exp0.02_5.raw
10-2_s11_iso4000_exp0.02_4.raw 10-2_s11_iso4000_exp0.02_5.raw
10-3_s11_iso2000_exp0.03_5.raw 10-3_s11_iso16000_exp0.03_1.raw
10-2_s11_iso8000_exp0.04_4.raw 10-3_s11_iso16000_exp0.05_1.raw
10-3_s11_iso16000_exp0.04_2.raw 10-1_s11_iso4000_exp0.05_5.raw
10-2_s11_iso16000_exp0.04_1.raw 10-2_s11_iso16000_exp0.05_1.raw
10-3_s11_iso16000_exp0.03_3.raw 10-1_s11_iso4000_exp0.04_6.raw
10-1_s11_iso8000_exp0.01_2.raw 10-2_s11_iso4000_exp0.01_3.raw
10-3_s11_iso160000_exp0.03_2.raw 10-3_s11_iso2000_exp0.02_2.raw
10-1_s11_iso4000_exp0.02_5.raw 10-2_s11_iso4000_exp0.01_2.raw
10-1_s11_iso4000_exp0.05_2.raw 10-3_s11_iso160000_exp0.03_4.raw
10-1_s11_iso8000_exp0.03_3.raw 10-1_s11_iso1000_exp0.01_4.raw
10-3_s11_iso8000_exp0.04_1.raw 10-2_s11_iso8000_exp0.03_4.raw
10-1_s11_iso4000_exp0.01_3.raw 10-1_s11_iso8000_exp0.02_1.raw
10-2_s11_iso160000_exp0.04_3.raw 10-3_s11_iso1000_exp0.03_4.raw
10-3_s11_iso160000_exp0.02_1.raw 10-2_s11_iso16000_exp0.03_5.raw
10-2_s11_iso8000_exp0.03_5.raw 10-3_s11_iso8000_exp0.04_5.raw
